hour,rentals
419181.0,374.0
419182.0,263.0
419183.0,140.0
419184.0,67.0
419185.0,32.0
419186.0,26.0
419187.0,42.0
419188.0,77.0
419189.0,192.0
419190.0,375.0
419191.0,385.0
419192.0,287.0
419193.0,301.0
419194.0,365.0
419195.0,290.0
419196.0,363.0
419197.0,304.0
419198.0,289.0
419199.0,359.0
419200.0,424.0
419201.0,470.0
419202.0,490.0
419203.0,459.0
419204.0,405.0
419205.0,444.0
419206.0,356.0
419207.0,251.0
419208.0,168.0
419209.0,122.0
419210.0,81.0
419211.0,63.0
419212.0,58.0
419213.0,84.0
419214.0,159.0
419215.0,229.0
419216.0,251.0
419217.0,308.0
419218.0,334.0
419219.0,299.0
419220.0,288.0
419221.0,334.0
419222.0,365.0
419223.0,303.0
419224.0,286.0
419225.0,373.0
419226.0,490.0
419227.0,397.0
419228.0,336.0
419229.0,404.0
419230.0,398.0
419231.0,272.0
419232.0,166.0
419233.0,122.0
419234.0,79.0
419235.0,48.0
419236.0,45.0
419237.0,39.0
419238.0,40.0
419239.0,94.0
419240.0,130.0
419241.0,181.0
419242.0,224.0
419243.0,254.0
419244.0,271.0
419245.0,231.0
419246.0,272.0
419247.0,281.0
419248.0,307.0
419249.0,314.0
419250.0,308.0
419251.0,258.0
419252.0,235.0
419253.0,248.0
419254.0,198.0
419255.0,123.0
419256.0,48.0
419257.0,19.0
419258.0,18.0
419259.0,19.0
419260.0,42.0
419261.0,83.0
419262.0,152.0
419263.0,284.0
419264.0,286.0
419265.0,235.0
419266.0,217.0
419267.0,268.0
419268.0,298.0
419269.0,268.0
419270.0,303.0
419271.0,289.0
419272.0,305.0
419273.0,367.0
419274.0,378.0
419275.0,347.0
419276.0,280.0
419277.0,237.0
419278.0,218.0
419279.0,138.0
419280.0,68.0
419281.0,43.0
419282.0,19.0
419283.0,22.0
419284.0,37.0
419285.0,70.0
419286.0,159.0
419287.0,305.0
419288.0,313.0
419289.0,262.0
419290.0,270.0
419291.0,284.0
419292.0,313.0
419293.0,312.0
419294.0,289.0
419295.0,292.0
419296.0,367.0
419297.0,397.0
419298.0,446.0
419299.0,514.0
419300.0,443.0
419301.0,432.0
