hour,rentals
419136.0,6.0
419137.0,0.0
419138.0,5.0
419139.0,21.0
419140.0,37.0
419141.0,67.0
419142.0,78.0
419143.0,63.0
419144.0,44.0
419145.0,51.0
419146.0,46.0
419147.0,54.0
419148.0,51.0
419149.0,57.0
419150.0,75.0
419151.0,86.0
419152.0,87.0
419153.0,74.0
419154.0,60.0
419155.0,45.0
419156.0,33.0
419157.0,15.0
419158.0,14.0
419159.0,9.0
419160.0,3.0
419161.0,6.0
419162.0,4.0
419163.0,23.0
419164.0,36.0
419165.0,49.0
419166.0,65.0
419167.0,61.0
419168.0,40.0
419169.0,47.0
419170.0,38.0
419171.0,45.0
419172.0,65.0
419173.0,48.0
419174.0,62.0
419175.0,86.0
419176.0,95.0
419177.0,91.0
419178.0,63.0
419179.0,54.0
419180.0,54.0
419181.0,29.0
419182.0,21.0
419183.0,8.0
419184.0,5.0
419185.0,6.0
419186.0,11.0
419187.0,25.0
419188.0,43.0
419189.0,56.0
419190.0,70.0
419191.0,51.0
419192.0,38.0
419193.0,42.0
419194.0,46.0
419195.0,51.0
419196.0,56.0
419197.0,67.0
419198.0,70.0
419199.0,68.0
419200.0,69.0
419201.0,82.0
419202.0,75.0
419203.0,63.0
419204.0,48.0
419205.0,51.0
419206.0,32.0
419207.0,21.0
419208.0,11.0
419209.0,10.0
419210.0,12.0
419211.0,14.0
419212.0,14.0
419213.0,21.0
419214.0,47.0
419215.0,50.0
419216.0,55.0
419217.0,55.0
419218.0,55.0
419219.0,47.0
419220.0,67.0
419221.0,55.0
419222.0,65.0
419223.0,78.0
419224.0,86.0
419225.0,109.0
419226.0,67.0
419227.0,60.0
419228.0,48.0
419229.0,44.0
419230.0,39.0
419231.0,34.0
419232.0,12.0
419233.0,26.0
419234.0,11.0
419235.0,8.0
419236.0,9.0
419237.0,13.0
419238.0,16.0
419239.0,28.0
419240.0,28.0
419241.0,35.0
419242.0,38.0
419243.0,39.0
419244.0,47.0
419245.0,53.0
419246.0,64.0
419247.0,69.0
419248.0,66.0
419249.0,76.0
419250.0,58.0
419251.0,61.0
419252.0,38.0
419253.0,28.0
419254.0,29.0
419255.0,13.0
419256.0,6.0
419257.0,5.0
419258.0,0.0
419259.0,9.0
419260.0,18.0
419261.0,26.0
419262.0,49.0
419263.0,56.0
419264.0,59.0
419265.0,50.0
419266.0,58.0
419267.0,52.0
419268.0,55.0
419269.0,59.0
419270.0,90.0
419271.0,74.0
419272.0,71.0
419273.0,84.0
419274.0,95.0
419275.0,77.0
419276.0,60.0
419277.0,74.0
419278.0,46.0
419279.0,40.0
419280.0,21.0
419281.0,22.0
419282.0,16.0
419283.0,11.0
419284.0,13.0
419285.0,15.0
419286.0,19.0
419287.0,20.0
419288.0,40.0
419289.0,43.0
419290.0,39.0
419291.0,52.0
419292.0,61.0
419293.0,66.0
419294.0,53.0
419295.0,58.0
419296.0,72.0
419297.0,68.0
419298.0,67.0
419299.0,53.0
419300.0,41.0
419301.0,33.0
